date,total_1,total_2,total_3,change_1,change_2,change_3
2023-06-08,2806,491,139,2806,491,139
2023-06-09,2805,491,139,-1,0,0
2023-06-10,2805,491,139,0,0,0
2023-06-11,2805,491,139,0,0,0
2023-06-12,2805,491,139,0,0,0
2023-06-13,2816,492,139,11,1,0
2023-06-14,2816,491,139,0,-1,0
2023-06-15,2815,491,139,-1,0,0
2023-06-16,2816,491,139,1,0,0
2023-06-17,2815,491,139,-1,0,0
2023-06-18,2815,491,139,0,0,0
2023-06-19,2815,491,139,0,0,0
2023-06-20,2815,492,139,0,1,0
2023-06-21,2815,492,139,0,0,0
2023-06-22,2815,492,139,0,0,0
2023-06-23,2815,492,139,0,0,0
2023-06-24,2815,492,139,0,0,0
2023-06-25,2815,492,139,0,0,0
2023-06-26,2815,492,139,0,0,0
2023-06-27,2815,492,139,0,0,0
2023-06-28,2820,491,139,5,-1,0
2023-06-29,2820,491,139,0,0,0
2023-06-30,2820,491,139,0,0,0
2023-07-01,2820,491,139,0,0,0
2023-07-02,2820,491,139,0,0,0
2023-07-03,2820,491,139,0,0,0
2023-07-04,2820,491,139,0,0,0
2023-07-05,2820,490,139,0,-1,0
2023-07-06,2819,490,139,-1,0,0
2023-07-07,2819,490,139,0,0,0
2023-07-08,2819,490,139,0,0,0
2023-07-09,2819,490,139,0,0,0
2023-07-10,2819,490,139,0,0,0
2023-07-11,2819,490,139,0,0,0
2023-07-12,2819,489,139,0,-1,0
2023-07-13,2819,489,139,0,0,0
2023-07-14,2819,489,139,0,0,0
2023-07-15,2819,489,139,0,0,0
2023-07-16,2819,489,139,0,0,0
2023-07-17,2819,489,139,0,0,0
2023-07-18,2819,489,139,0,0,0
2023-07-19,2819,489,139,0,0,0
2023-07-20,2820,489,139,1,0,0
2023-07-21,2819,489,138,-1,0,-1
2023-07-22,2819,489,138,0,0,0
2023-07-23,2819,489,138,0,0,0
2023-07-24,2819,489,138,0,0,0
2023-07-25,2818,489,138,-1,0,0
2023-07-26,2817,489,138,-1,0,0
2023-07-27,2816,489,138,-1,0,0
2023-07-28,2816,489,138,0,0,0
2023-07-29,2816,489,138,0,0,0
2023-07-30,2816,489,138,0,0,0
2023-07-31,2816,489,138,0,0,0
2023-08-01,2816,489,138,0,0,0
2023-08-02,2816,489,138,0,0,0
2023-08-03,2814,489,138,-2,0,0
2023-08-04,2814,489,138,0,0,0
2023-08-05,2814,489,138,0,0,0
2023-08-06,2814,489,138,0,0,0
2023-08-07,2814,489,138,0,0,0
2023-08-08,2814,489,138,0,0,0
2023-08-09,2814,489,138,0,0,0
2023-08-10,2814,489,138,0,0,0
2023-08-11,2814,489,138,0,0,0
2023-08-12,2814,489,138,0,0,0
2023-08-13,2814,489,138,0,0,0
2023-08-14,2814,489,138,0,0,0
2023-08-15,2814,489,138,0,0,0
2023-08-16,2814,489,138,0,0,0
2023-08-17,2814,489,138,0,0,0
2023-08-18,2814,489,138,0,0,0
2023-08-19,2813,489,138,-1,0,0
2023-08-20,2813,489,138,0,0,0
2023-08-21,2813,489,138,0,0,0
2023-08-22,2812,489,137,-1,0,-1
2023-08-23,2812,489,137,0,0,0
2023-08-24,2812,489,137,0,0,0
2023-08-25,2811,489,137,-1,0,0
2023-08-26,2809,489,137,-2,0,0
2023-08-27,2809,489,137,0,0,0
2023-08-28,2809,489,137,0,0,0
2023-08-29,2809,488,137,0,-1,0
2023-08-30,2808,488,137,-1,0,0
2023-08-31,2808,488,137,0,0,0
2023-09-01,2813,488,139,5,0,2
2023-09-02,2813,488,139,0,0,0
2023-09-03,2813,488,139,0,0,0
2023-09-04,2813,488,139,0,0,0
2023-09-05,2813,488,139,0,0,0
2023-09-06,2813,488,139,0,0,0
2023-09-07,2813,488,139,0,0,0
2023-09-08,2814,489,139,1,1,0
2023-09-09,2814,489,139,0,0,0
2023-09-10,2814,489,139,0,0,0
2023-09-11,2814,489,139,0,0,0
2023-09-12,2814,489,139,0,0,0
2023-09-13,2814,489,139,0,0,0
2023-09-14,2819,489,139,5,0,0
2023-09-15,2818,489,139,-1,0,0
2023-09-16,2818,489,139,0,0,0
2023-09-17,2818,489,139,0,0,0
2023-09-18,2818,489,139,0,0,0
2023-09-19,2818,489,139,0,0,0
2023-09-20,2817,489,140,-1,0,1
2023-09-21,2816,488,140,-1,-1,0
2023-09-22,2816,488,140,0,0,0
2023-09-23,2816,488,140,0,0,0
2023-09-24,2816,488,140,0,0,0
2023-09-25,2816,488,140,0,0,0
2023-09-26,2816,488,140,0,0,0
2023-09-27,2816,488,140,0,0,0
2023-09-28,2815,487,140,-1,-1,0
2023-09-29,2817,486,140,2,-1,0
2023-09-30,2816,486,140,-1,0,0
2023-10-01,2816,486,140,0,0,0
2023-10-02,2816,485,140,0,-1,0
2023-10-03,2828,488,140,12,3,0
2023-10-04,2828,488,140,0,0,0
2023-10-05,2828,488,139,0,0,-1
2023-10-08,2828,488,139,2828,488,139
2023-10-09,2828,488,139,0,0,0
2023-10-10,2828,488,139,0,0,0
2023-10-11,2828,488,139,0,0,0
2023-10-12,2828,488,139,0,0,0
2023-10-13,2826,487,140,-2,-1,1
2023-10-14,2826,487,140,0,0,0
2023-10-15,2826,487,140,0,0,0
2023-10-16,2826,487,140,0,0,0
2023-10-17,2826,487,140,0,0,0
2023-10-18,2829,487,140,3,0,0
2023-10-19,2829,487,140,0,0,0
